# date	time	lat	lon	hdop
14:28:17	2018-12-19	51.0571067	3.7372533	21.1
14:28:19	2018-12-19	51.0571067	3.7372533	20.1
14:28:20	2018-12-19	51.0571067	3.7372533	17.5
14:28:21	2018-12-19	51.0571067	3.7372533	18.7
14:28:23	2018-12-19	51.0571067	3.7372533	15.7
14:28:24	2018-12-19	51.0571067	3.7372533	18.3
14:28:26	2018-12-19	51.0571067	3.7372533	16
14:28:28	2018-12-19	51.0571067	3.7372533	16.5
14:28:30	2018-12-19	51.0571067	3.7372533	16.4
14:28:32	2018-12-19	51.0571067	3.7372533	16.4
14:28:34	2018-12-19	51.0571067	3.7372533	16.7
14:28:36	2018-12-19	51.0571067	3.7372533	17.4
14:28:38	2018-12-19	51.0571533	3.73716	5.5
14:28:40	2018-12-19	51.0572133	3.73715	7.2
14:28:42	2018-12-19	51.057295	3.7371067	8.5
14:28:43	2018-12-19	51.0573433	3.7370883	9
14:28:44	2018-12-19	51.057385	3.7370767	9.4
14:28:46	2018-12-19	51.0574817	3.7370567	10.1
14:28:48	2018-12-19	51.057585	3.7370383	10.6
14:28:50	2018-12-19	51.0576567	3.7369733	10
14:28:52	2018-12-19	51.0576933	3.7369033	7.6
14:28:54	2018-12-19	51.057725	3.7368917	6.3
14:28:56	2018-12-19	51.05776	3.736885	6
14:28:58	2018-12-19	51.0577733	3.7368833	4.4
14:28:59	2018-12-19	51.0577767	3.7368817	4.5
14:29:01	2018-12-19	51.0577767	3.7368817	6.4
14:29:02	2018-12-19	51.0577767	3.7368817	7.5
14:29:04	2018-12-19	51.0577767	3.7368817	11.1
14:29:05	2018-12-19	51.0577767	3.7368817	12
14:29:07	2018-12-19	51.0577767	3.7368817	9.7
14:29:09	2018-12-19	51.0577767	3.7368817	7.1
14:29:10	2018-12-19	51.0577767	3.7368817	3.5
14:29:12	2018-12-19	51.0577767	3.7368817	5.5
14:29:16	2018-12-19	51.0577767	3.7368817	8.8
14:29:17	2018-12-19	51.0577767	3.7368817	14.1
14:29:19	2018-12-19	51.0577767	3.7368817	15.2
14:29:22	2018-12-19	51.0577767	3.7368817	14.8
14:29:23	2018-12-19	51.0577767	3.7368817	14.8
14:29:25	2018-12-19	51.0577767	3.7368817	18.5
14:29:26	2018-12-19	51.0577767	3.7368817	16.6
14:29:27	2018-12-19	51.0577767	3.7368817	15.6
14:29:29	2018-12-19	51.0577767	3.7368817	12.5
14:29:30	2018-12-19	51.0577767	3.7368817	12.3
14:29:32	2018-12-19	51.0577767	3.7368817	9.8
14:29:34	2018-12-19	51.0577767	3.7368817	11.3
14:29:36	2018-12-19	51.0577767	3.7368817	11.3
14:29:37	2018-12-19	51.0577767	3.7368817	11.9
14:29:39	2018-12-19	51.0577767	3.7368817	12.6
14:29:41	2018-12-19	51.0577767	3.7368817	11.6
14:29:42	2018-12-19	51.0577767	3.7368817	10.9
